"deploymentID", "timestamp", "variable", "value"
30,1524500460,"water temperature",12.589
30,1524501060,"water temperature",12.475
30,1524501660,"water temperature",12.315
30,1524502260,"water temperature",12.147
30,1524502860,"water temperature",11.978
30,1524503460,"water temperature",11.809
30,1524504060,"water temperature",11.648
30,1524504660,"water temperature",11.478
30,1524505260,"water temperature",11.344
30,1524505860,"water temperature",11.2
30,1524506460,"water temperature",11.083
30,1524507060,"water temperature",10.921
30,1524507660,"water temperature",10.768
30,1524508260,"water temperature",10.605
30,1524508860,"water temperature",10.487
30,1524509460,"water temperature",10.332
30,1524510060,"water temperature",10.232
30,1524510660,"water temperature",10.104
30,1524511260,"water temperature",9.949
30,1524511860,"water temperature",9.885
30,1524512460,"water temperature",9.756
30,1524513060,"water temperature",9.646
30,1524513660,"water temperature",9.545
30,1524514260,"water temperature",9.453
30,1524514860,"water temperature",9.361
30,1524515460,"water temperature",9.24
30,1524516060,"water temperature",9.194
30,1524516660,"water temperature",9.092
30,1524517260,"water temperature",9.009
30,1524517860,"water temperature",8.906
30,1524518460,"water temperature",8.841
30,1524519060,"water temperature",8.757
30,1524519660,"water temperature",8.701
30,1524520260,"water temperature",8.627
30,1524520860,"water temperature",8.542
30,1524521460,"water temperature",8.477
30,1524522060,"water temperature",8.411
30,1524522660,"water temperature",8.346
30,1524523260,"water temperature",8.289
30,1524523860,"water temperature",8.242
30,1524524460,"water temperature",8.186
30,1524525060,"water temperature",8.129
30,1524525660,"water temperature",8.073
30,1524526260,"water temperature",8.035
30,1524526860,"water temperature",7.921
30,1524527460,"water temperature",7.931
30,1524528060,"water temperature",7.893
30,1524528660,"water temperature",7.827
30,1524529260,"water temperature",7.827
30,1524529860,"water temperature",7.779
30,1524530460,"water temperature",7.742
30,1524531060,"water temperature",7.723
30,1524531660,"water temperature",7.675
30,1524532260,"water temperature",7.637
30,1524532860,"water temperature",7.599
30,1524533460,"water temperature",7.561
30,1524534060,"water temperature",7.523
30,1524534660,"water temperature",7.513
30,1524535260,"water temperature",7.494
30,1524535860,"water temperature",7.447
30,1524536460,"water temperature",7.428
30,1524537060,"water temperature",7.389
30,1524537660,"water temperature",7.38
30,1524538260,"water temperature",7.342
30,1524538860,"water temperature",7.303
30,1524539460,"water temperature",7.303
30,1524540060,"water temperature",7.246
30,1524540660,"water temperature",7.217
30,1524541260,"water temperature",7.198
30,1524541860,"water temperature",7.179
30,1524542460,"water temperature",7.15
30,1524543060,"water temperature",7.141
30,1524543660,"water temperature",7.141
30,1524544260,"water temperature",7.102
30,1524544860,"water temperature",7.102
30,1524545460,"water temperature",7.045
30,1524546060,"water temperature",7.073
30,1524546660,"water temperature",7.102
30,1524547260,"water temperature",7.064
30,1524547860,"water temperature",7.073
30,1524548460,"water temperature",7.112
30,1524549060,"water temperature",7.179
30,1524549660,"water temperature",7.198
30,1524550260,"water temperature",7.236
30,1524550860,"water temperature",7.313
30,1524551460,"water temperature",7.389
30,1524552060,"water temperature",7.485
30,1524552660,"water temperature",7.59
30,1524553260,"water temperature",7.732
30,1524553860,"water temperature",7.874
30,1524554460,"water temperature",8.016
30,1524555060,"water temperature",8.139
30,1524555660,"water temperature",8.317
30,1524556260,"water temperature",8.477
30,1524556860,"water temperature",8.673
30,1524557460,"water temperature",8.878
30,1524558060,"water temperature",9.092
30,1524558660,"water temperature",9.296
30,1524559260,"water temperature",9.508
30,1524559860,"water temperature",9.72
30,1524560460,"water temperature",9.949
30,1524561060,"water temperature",10.196
30,1524561660,"water temperature",10.468
30,1524562260,"water temperature",10.722
30,1524562860,"water temperature",10.966
30,1524563460,"water temperature",11.218
30,1524564060,"water temperature",11.451
30,1524564660,"water temperature",11.675
30,1524565260,"water temperature",11.951
30,1524565860,"water temperature",12.191
30,1524566460,"water temperature",12.51
30,1524567060,"water temperature",12.731
30,1524567660,"water temperature",12.898
30,1524568260,"water temperature",12.819
30,1524568860,"water temperature",12.951
30,1524569460,"water temperature",13.406
30,1524570060,"water temperature",13.712
30,1524570660,"water temperature",13.843
30,1524571260,"water temperature",13.991
30,1524571860,"water temperature",14.173
30,1524572460,"water temperature",14.338
30,1524573060,"water temperature",14.476
30,1524573660,"water temperature",14.554
30,1524574260,"water temperature",14.424
30,1524574860,"water temperature",14.216
30,1524575460,"water temperature",14.121
30,1524576060,"water temperature",14.13
30,1524576660,"water temperature",14.06
30,1524577260,"water temperature",14.051
30,1524577860,"water temperature",14.017
30,1524578460,"water temperature",13.973
